file_name,vakyansh_transcription,fine_tuned_whisper_transcription
broken-vad_20__5BntK9iyo4-7,ఇంట్లో పెద్దవారు న్యూ బాన్స్ లో ఎకి వెనుక కారణం ఏ ఉంటుంది మీరే చూడండి నజత శశవవచ్చగురించి మీకు ఆసక్తికరమైన విషయం చెప్పాలిశిుిర మే కాదు కడుపులో ఉండగా కూడా  వస్తాయని మీకు తెలుసా కకడుపు,ఇంట్లో పెద్దవారు న్యూబాన్స్లో ఎక్కిల వెనుక కారణం ఏమయుంటుంది మీరే చూడండి నవజాత శిశువుల్లో వచ్చే ఎక్కిల్ల గురించి మీకు ఆసక్తికరమైన విషయం చెప్పాలి శిశువు పొట్టిన తర్వాత మాత్రమే కాదు కడుపులో ఉండగా కూడా ఎక్కిల్లో వస్తాయిని మీకు తెలుసా ఇక కడుప
broken-vad_26_kEnzBCowpjg-0,రోయిలో ఎప్పుడు మాటనో గార్లు బోరిలు కాజాలు లడ్డులు ఒకట  ఉన్నకర మచపట్మని పెట్టావా న,ఇలాపుడు మాటను గారులు భూరులు కాజాలు లడ్డులు ఒకట ఎన్నో ఉన్నాయి కుమ్మేండు
broken-vad_34_kEnzBCowpjg-1,అమ్మా ఇక్కడ నేను చిన్నప్పటి నుంచి గోదావరిలో ఉన ఉంటున్నాను కదా గోదావరి అంటే జస్ట్ ఒక ప్లేస్ అమ్మాయి ఏదో సాంక్రాంతి మూడు రోజులు హ్యాపీగా ఫీలపోవడం తప్ప ఇక్కడ బాగాలేదు ,ఇక్కడ నేను చిన్నప్పించి గోదావరింటి గోదావర్ అంటే  ప్లేస్ అమ్మా ఏదో సంక్రింతికి మూడు లోజ్ హ్యాపీగా పీలే వెళ్లుపోవడం దప్పా ఇక్కడ బాగుబడి పెదిగొడి ఏంలేదు
broken-vad_48_vkJs4WLK2WU-0,అందరికీ వేలకు వేలు కట్టుకోలేదు లక్షలకు లక్షలు కట్టుకోలేదు ఒక సామాన్యమైన రోజువారి కూలీ చేసుకునే వాళ్ళు కూడా ఇరవది రూపాయాలంటే వాళ్ళకి పెద్ద సమస్య ు అలాంటి పాలసీ అనేది తీసుకుని వాళ్ళకి ఏదైనా కవరేజ్ కావాల్సి వచ్చిన ఇట్లా చేయడం అనేది నిజంగా ఒక మంచి పని చేస్తున్నట్లేండిచ,అందరికీ వేలకబేలు కట్టుకోలేరు లక్షలక్షల కట్టుకోలేరు ఒక సామాన్యమైన రోజువారీ కూలి చేసుకునే వాళ్లు కూడా ఇరవైదు రూపాయలంటే వాళ్లకు పెద్ద సమస్యములు అలాంటి పాలసీ తీసుకుని వాళ్లకేదిన కవరేజ్ కావాస్తున్నవుడు ఇట్లా చేయటవనేది నిజంగా ఒక మంచి పంజేస్త�
broken-vad_74_Yk7PuNPW7F4-0,ఈవి మోలోనే మనం దగ్గరగర టూ త్రీ కిలోమీటర్స్ వరకు డ్రైవ్ చేయొచ్చు అయితే మరీ హడడ్స్ఫీల్లో మనం ూ్రీ కిలోమీటర్ డరైవ్చేచ్చు అంటే కాదు ఒక సర్టైన్స్పీల్లో మాత్రమే మనం ఆ టూత్రీ కిలోమీటర్స్ డ్రైవ్ చేయాలి తర్వాత ఆటోమేటిక్గా దానింతా పెట్రోల్లోకి షిఫ్ట్ అయిపోతుందిన్మాట అలా పెట్రోల్ మూలో నరపాల్సి ఉంటున తర్వాత పెట్రోల్ మూ్లో నడిపేటపుడేమో,దగ్గరేదిన టూరీ కిలోమీటర్స్ వరకు డ్రైవ్జేయువచ్చు అయితే మరీ హండడ్ స్పీల్లో టూరీ కిలోమీటర్స్ డ్రైవ్జే వచ్చింటే కాదు ఒక సర్టైన్ స్పీల్లో మాత్రమే మను టూరీ కిలోమీటర్స్ డ్రైవ్జేయాలి తర్వాత ఆటమేటిగా దానంతటాలు పెట్రోల్లోకి షిపోతుంటుందిని పెట్రో
broken-vad_93_0OR5H_QiQD8-0,సాయపన్నట్ట,సాయి పడ్డావరా
broken-vad_93_0OR5H_QiQD8-2,ఇటిడబ్బీటి ,ఇటీ
vad_00_JHFcHueFxBw,ఎలక్ట్రానిక్ సిటీ భారీ వర్షంతో అతలాకుతులమైంది కొండపోత వర్షం ఉరుములు మెరుపురుతో బెంగళూరు ప్రజలు తీవ్రంగా ఇబ్బందులు పడుతున్నారు ,ఎలక్ట్రామిక్ సిటీ భారీ వర్షంతో అతలాకులమైంది కొండపోత వర్షం ఉరుముల మెరుపులతో బెంగుళరు ప్రజలు తీవ్రంగా ఇబ్బందును పడుతున్నారు
vad_00_KpH6El_W0AI,నమస్తే వెల్కమ్ ్ టీవీ నేను మీ విష్ణూప్రస్తాపతో పాటు సర్టిఫడ్ ఫైనాన్ల్ ప్లానర్ రామ్ ప్రసాద్ కారుారు వారితో మాట్లాడదాం ,నమస్తే వెల్కప్ టుస్విమాంట్ టీవీ నేను మీ విష్ణు ప్రస్తుబతి ఫాటు సర్టిఫైడ్ ఫినాన్షిల్ ప్లానర్ రామ్ ప్రసాద్ కారణారు వార్త మాట్లేడదోంది సన్నవస్తు సర్
vad_00_OY9xCzgKIJg,గాలి నీరు భూమి మనిషి జీవితంలో ఈ మూడు చాలా ముఖ్యం ఇవే మంచిగ లేకపోతే మనిషి బతుకుడు కూడా కష్టమే అయితే వీటిని ఎంత మంచిగా చూసుకోవాలి కానీ రోజురోజుకి ఇవన్నీ కరాబతున్నాయి మనం చేసే తప్పుల తోటి పర్యావరణం పాడైతుంది ప్రపంచ పర్యావరణ దినోత్సవం సందర్భంగా స్పెషల్ స్టోరీ ,గాలి నిరూభమే మనిషి జీవితంలో ఈ మూడు శానముఖ్యం ఇవ్వే మంచుకు లేకపోతే మనిషి బతికొడు కూడా కష్టమే అయితే వీటిని ఎంత మంచుగా చూసుకోవాలి కానీ రోజురోజుకీ వన్నీ కరాబైతున్నాయి మనంచేసే తప్పులతోటే పర్యావరణం పాడైతుంది ప్రపంచ పర్యావరణ దినుత్సవం సందర్పంగ�
vad_00_kEnzBCowpjg,అలా వీడియో పడిపోగానే మీరుఎలా చూలంటేుంటేం ,వీడియో పడిపోకానే మీర్లాజు వేయాలంటే అక్కిందండిగా అంటగోటేండి అదిపోతే యాదవకు అదావి సంతిని డబ్బుల్ బుద్ధ బెత్తడు దాయిత్రుగొట్టుకొనడి రూములో నీళ్లండో ఏవు ఉండవ నీళ్లత అంటాడు అయ్యమరావు ఎందుకురు ఏవేవేవేవంటే నెక్షికి చెత్తేశారు బోరేహం అంటాడు
vad_00_q_u-4osc610,బ్యాంకులపై నమ్మకం నిర్దేశిత వ్యవధి తర్వాత మనకు రావాల్సిన మొత్తాన్ని తీసుకుని వెసలుబాటు ఉండడంతో చాలామంది డబ్బును ఫిక్స్్ డిపాజిట్లు చేస్తారు ,బ్యాంకులపై నమ్మకం నిర్దేశ్థ వ్యాబతి తర్వాత మనకు రావాల్సిన మొత్తాన్ని తీసుకునే వెస్తులుబాటు ఉండటంతో చాలామంది డబ్బును ఫిక్స్ట్ డిపాజెట్లు చేస్తారు
vad_01_1XKs15LyN7c,పిల్లలను వృద్ధులను ఆసుపత్రికి తీసుకెళ్లాలన్న రోడ్లపై చిక్కలు కనిపిస్తాయి అయితే ఎలాంటి టెన్షన్ లేకుండా మాకు కాల్ చేయండి మేమే ఇంటికి వచ్చి వైద్యం చేస్తామంటుంది కాల్ హెల్త్ మెడికల్ సర్వీసె్ సెంటర్ ,పిల్లలను వృద్దులను ఆసుపత్రికి తీసుకెళ్లాలన్న రోడ్లపై చుక్కలు కనిపిస్తాయి అయితే ఎలాంటి టెన్షల్ లేకుండా మాకు కాల్ చేయండి మేమే ఇంటుకొచ్చి వైద్యం చేస్తామంటోంది కాల్ హెల్త్ మెడికల్ సర్వీస్ అంటే
vad_01_JHFcHueFxBw,కర్ణాటక రాష్ట్రంలో భారీ వర్షాలు కురుస్తున్నాయి బెంగళూరు సిించికొట్టింది భారీ వర్షం నిన్న సాయంత్రం నుండి ఊరుములు మెరుపురితో కూడిన వర్షం నగర ప్రజల్ని తీవ్రంగా ఇబ్బందులు పెట్టింది దీంతో నగరంలోని పలు ప్రాంతాలు రహదాల్లు నీట మునిగాయి కొండపోత వర్షరంతో వాహనదారులు తీవ్రంగా ఇబ్బందులు పడుతున్నారు నగరంలో పలుచోట్ల వర్షపునీటితో ్రాఫిక్ ఏర్పడింది భారీ వర్షానికి రా నిలిచిపోయింది విమానాశ్రయానికి వెళ్ల ప్రయాణికులు తీవ్రంగా ఇబ్బందులు పడుతున్నారు వరుసుగా నాలుగు రోజుల సెలవలతో బెంగళూరు నగరానికి చేరుకున్న పర్యాటకుల వ్షహోట పరిమితమయ్యారు మరోవైపు రాష్ట్రలోని పుత్తూరు మాణిలో అత్యికంగాు ంమీట వరషం కురిసింది ర్మస్లతెమాగు ప్రాంతాల్లో ఐదు సంటీమీటరలు మూునాడు హా్ట్రనాట పటూరులో నాలుగుసెంటమీట్లు మంగళూరుమాడియా ఆలూరులో మూడుసంటమీల వర్షం నమోదైంది మరోవైపు తెలుగు రాష్ట్రాంలో మూడు రోజుల పాటు వర్షాలు కురిసే అవకాశంఉంది తెలంగాణలో రాగల మూు రోజులు అలాగే ఆంధ్ర ప్రదేశ్లో ఇవాటి నుండి మూడు రోజులపాటు ర్ష ,కర్ణాటక రాష్ట్రలో భారీ వర్షాలు కురుస్తున్నాయి బెంగలోర్ సిటినీ దంచికొట్టింది భారీ వర్షం నిర్ణసాయితుల నుండి ఉరముల మెరుపులతో కూడిన వర్షం నగర ప్రజల్ని తీవ్రంగా ఇబ్బందులు పెట్టింది దీంతో నగరలోని పలు ప్రాంతాలు రహదార్లు నీటమునుగాయి కుండపోత వర�
vad_02_L9XotmWDVC4,ఆగ ఏం పిల్లస్తుం తెిపోతానవుఏంటి  ,ఆగ ఏం పిల్లస్తుంది తెలిపోతున్నాను నాను డిసైడింగ్ కెలిపోచేసినాను
vad_02_xpMl4UJUzC0,దావోస్వేదికగా తెలంగాణకు పెట్టుబడుల ప్రవాహం కొనసాగుతోంది ప్రపంచ ప్రఖ్యాత కంపెనీలు రాష్ట్రంలో ఇన్వెస్ట్ చేసేందుకు ముందుకు వస్తున్నాయి ,దావోస్వేదికగా తెలింగాణకు పెట్టుబడల ప్రవాహం కొనసాగుతోంది ప్రపంచ ప్రఖ్యాత కంపెనీలు రాష్ట్రంలో ఇన్వెస్ట్ చేసేందుకు ముందుకు వస్తున్నాయి
vad_03_0OR5H_QiQD8,రాజు రాజఏందే సూతి ,రాజు వ్యారాధ్  సూత్రు నాగలే రెండే అన్నాయి
vad_03_xpMl4UJUzC0,సాఫ్ట్వేర్ దిగ్గతి సంస్థ మైక్రోసాఫ్ట్ పొదరు వేల కోట్ల పెట్టుబడితో హైదరాబాద్లో మరో మూడు డేటా సెంటర్లను ఏర్పాటు చేయనున్నట్లు ప్రకటించింది ,సాఫ్ట్ వేరు దిగ్గత సంస్థ మైక్రోసాఫ్ట్ పదారు వేల కోట్ల పెట్టుబడితో హైదరాబాద్లో మరో మూడు డేటా సెంటర్లను ఏర్పాటు చేయనున్నట్లు ప్రకటించింది
vad_04_0OR5H_QiQD8,అమమకదేవినికి సాలకదేవిికి మూర్పుకడిపిన ూి ,తమ దేవునికి సారకదేవునికి మూడుపు అయిట్టిన మూడు వెళ్లించినావా దారం మనం పోయి
vad_04_L9XotmWDVC4,ాి సింపుల్గా కరకవిత యా నువ్వా యా ,స్యాలిక్ సింపులు కవిత్ రూపం చేపిదు
vad_05_NeOnmz8ziuk,మన స్లాండ్ డిఫరెంట్ గా ఉంది ఎవడు చెప్పలేదు ,మన స్లాంగ్ డిఫరెంట్ ఉందని అవుడు చెప్పలేదు
vad_06_0OR5H_QiQD8,ఆయని రానే పోడినసారి నీ సాగుచేష్ రాంపో ద ంపసుకో మన మన మంచుచుకంటే మలలతాదుదేవ ,పోయిన చారే నద్రం సాగు వేష్ణవు రానుపావు రానానాదు శంపర్శాల మనం మనలు మంచుకుంటే మల్లతమన్నానాదు ఆ దేవత సిన్నర్ కోపనికారు
vad_06_ChbBFnO-XRU,మీ కొంచెం ఇంటర్నెట్ మీద అవగాహన ఉంటే మీ అవగాహనకి బుక్ తోడయితే డెఫినిట్  చేసుకోవచ్చు ైనా సరేానహౌస్ వైఫ్స్ కానస్టూడెంట్స్ కనీఖాళీ సమయాల్లో మ చేసుకోవచ్చుిట బుక్ గురించి అ్ కాంటాక్ట్  ,మీ కొంచెం ఇంటర్నెట్ మీద అవగాహనుంటే మీ అవగాహనకి బుక్కు తోడైతే మీ డెఫెనెట్లీ మనీయర్ చేసుకోవచ్చు ఎవరైనా సర్య రిటైడెంప్లైస్ కానీ హౌస్ వైవ్స్ కానీ స్టూడెంట్స్ కానీ మీ కానీ చేసుకోవచ్చు సురేష్ బుక్కురించి అండ్ కంటాక్ట్ డీటీల్స్ నేంది డిస్క్రింట
vad_06_E8KRQoNpp8Y,ఇవండి ఏవతే ఐదు కంపెనీస ఐదు కంపెనీస్లోనేఈ పెట్టుబడి చేసేవాళ్ళ కేటీస్ ప్రకారంగా వాళ్ళ యఒక స్టేక్ఎంతని పెంచుకున్నారని డిో మాత్రం కాదండి మీ్ చేసుకున్న తర్వాత  సంప్రదించుకున్నాకే చేయాలా వద్ద అనే నిర్ణయాన్ని మీరు సొంతగా తీసుకోవాలని కోరుకుంటూ ిో చేస్తూ  ఫీడ్ బ్యాక్ని లో తెలియపర్చడం మర్చుకోకండి  ,ఇవ్వండీ ఏవైతే ఐదు కంపెనీస్ లోనే పెట్టుబడి చేసే వాళ్ల కాటగిరీస్ ప్రకారంగా వాళ్ల ఒక స్టేక్ ఎంతాన్ని పెంచుకున్నారని రెఫ్నట్కేదు రెకమెంటేషన్ చేవియో మాత్రం కాదండి మీ ఒక డ్యూడెలిజెన్స్ చేసుకున్న తర్వాతే మీ ఫెనాన్స్ట్ను సంప్రదించుకున్నాకే ఇన్�
vad_06_kEnzBCowpjg,నేన్నే వదరగాడు చెప్పాడురా నీళ్లు తక్కువవారంటే గ్రౌండ్ ాడ రాలేదని ,తొల్లు కూటే నేన్నే వనర్ కడి చెప్పాడు నీళ్లు తక్కువ వారిండి గ్రౌన్ వాటర్ రాటిలేదని
vad_08_L9XotmWDVC4,ఏమేరాయవు నువరాయకపోతే ఇంకరరు చెప్పే ఏనాకోసం పెద్ద పె్ద నోట్సుల రా సిన్న కవిత లేక నీకు ఉల్న అమ్మంతని కాల్పడ ,ఏమే రాయివో నురాయకుపోతే కెవర్సారు చెప్పే ఏటా నాకోసం పెద్ది నోడ్స్ రాజీను కవితో లేకను ఉల్లాయమంతాన్ని ఆల్పడపోతున్నా రాసియే
vad_08_q_u-4osc610,ఇప్పుడు ఇలా తక్కువ రిస్కు ఉన్న మమార్ాను ఒకసారి చూద్దాం ుొన్ని ,ఇప్పుడు ఇలా తక్కువ రిస్క్ ఉన్న మదుపు మార్గాలను ఒకసారి చూద్దాం ఇండెక్స్ ఫంస్ మ్యూచువల్ ఫంస్ లాగే  ద్వారా మదుపు చేసిన మొత్తాన్ని వివిధ కంపెనీల షేర్లలు పెడతారు
vad_09_WSrcQ5d4eGs,నీనుచ్చిన ఎందుకు రాస్తాను గానకి నాన రాసుకు నాకే అర్థం కాటదియనడ ప్రతి ఒ్్తాాు ఇంగ్లీష్ ేటర్్తాసి చేస్తందే ,నోట్స్
vad_102_0OR5H_QiQD8,నేను ఆఫీసులో కూడా లంచ్ స్ఫూడ్స్ తో తిట్టాను ,నీరు ఆఫీసుల కూడా లాంచ్ స్పూన్స్ తింటాను
vad_109_bDiT5kKKnjY,ప్రాపర్గా లేదు అంటే ప్రొఫెషనల్స్ అయితే దీని పర్ఫెక్ట్ గా యూ్ చేస్తారు కావచ్చు అయితే నా ఉద్దేశం ప్రకారం ఎవరూ యూ్ చేసినా కూడా పర్ఫెక్ట్ గా వస్తేనే అది మనకు యూస్ అవుతుంది తప్ప ,ప్రాపురగా లేదు అంటే ప్రొఫెషనస్ అయితే దీని పర్ఫెక్ట్ గా యూజ్ చేస్తారుగా వచ్చు అయితే నా ఉద్దేశం ప్రకారం ఎవరూ యూజ్ చేసినా కూడా పర్ఫెక్ట్ వస్తాయి అది మానికి యూజ్ అవుతుంది
vad_115_bDiT5kKKnjY,ఏ విధంగా ఉంటుందో మరీ అంత అయితే ఎక్స్పెక్ట్ చేయడానికితెలేదు మనకి ఫోన్ కావాలి వెికిల పైన ఫోమ్ ఆగినెట్లుగా ఉండాలి మనం ఆడుకోవాలి తక్కువ ప్రైస్ లో కావాలనుుంటేం తీసుకోవచ్చు ,ఏవిధంగా ఉంటుందో మరీ అంతాయితే ఎక్స్పైజేటర్ కైతలేదు మనకు ఫోమ్ గావాలి వేకిలిపైన ఫోమ్ ఆగినట్లుగా ఉండాలి అడుకోవాలి తక్కువ ప్రైస్లో కావాలనుకుంటే దీనైతే తీసుకోవచ్చు
vad_11_q_u-4osc610,సాధారణ మ్యూచువిల్ ఫన్స్ ఒక ఫండ్ మేనేజర్ ఆధ్వర్యంలో మార్కెట్ కంటే మంచి పిచాలన చేస్తూ ఉంటాయి కానీ ఉంటే చాలని పనిచేస్తాయిహ,సాధారణ మ్యూచివల్ ఫన్స్ ఒక ఫండ్ మేనేజర్ ఆధ్వర్యంలో మార్కెట్ కంటే మంచి పనితీరు చూపించాలని పనిచేస్తూ ఉంటాయి కానీ ఇండెక్స్ ఫన్స్ మాత్రం సదరు సూచికి తగినట్టు పనితీరు ఉంటే చాలని పనిచేస్తాయి
vad_12_R4kPm3KHUcw,రేమచ్య ఏరా అంటే ఏమైందిరా అంటే  ఎమ్మెల్య కొడుకు నేవి పేస్తనిూ్తంటే భయ ఫోన్ చేస్తాండా ,మచే యాండోర్ అంటే ఏమైంది అంటే ఏమినుది అమ్మీలు కుడుకు నేను వికరాబాదడిలో చంపేస్తుండానే ఏమో కూతులు గూస్తాం అంటే బైపుడు ఫోన్ చేస్తాండా
vad_12_bDiT5kKKnjY,టయాప్ కే ఫీట్ చేసుకోవాలఅనుకుంటే మనకు ఇలా కనెక్టర్ కూడా ప్రొవేడ్ చే్తుననారు టే మనం బకెట్వాటర్ తోటి మనం కార్వాష్యాలఅనుకుంటే ఫిల్టర్ అయితే ప్రొవేడ్ చేసతున్నారు మనం అయితే దీన్ని వాడుతున్న ఇవ్వాల అలాగే ఇది ,టాప్ కే ఫిడ్చేసుకోవాలనుకుంటే మనకు ఇలా కనెక్టర్ కూడా ప్రోవేడ్ చేస్తున్నారు
vad_12_kEnzBCowpjg,ందాకే షాప్  తీసుకొచ్చాు ,ఇది వారు పూతుడేకు ఇందాకే షాబ్ ను తీసుకువచ్చారు
vad_15_Qr81X7ADSC4,పర్ఫెక్ట్ ద పొజిషన్ కూడా కొద్దిగా ండకొద్దిగ ఇఉండేదిచాలా బాగుందిిని సెంటర్ స్టాండ్ ఉంది సైస్టడ్ ఉంది  ఉంది ,పర్ఫెక్ట్ ఉంది పొసేషన్ కొద్దిగా హ్యాండ్లు ఇంకొక కొద్దిగా ఈ రేంజ్ కొస్తుందుకు ఇంకా పర్ఫెక్ట్ ఉండది కొంచెం బెండవాలి రీచాలంటే చాలా ఉంది  సీటింగ్ కంఫర్టైతో దీనికి సెంట్రస్టాన్ ఉంది సైట్స్టాన్ ఉంది ప్రోఫైల్ కుండాకు రెండుముకు సెవంట్యించు ఎల్ల�
vad_15_q_u-4osc610,మిగిలిన డబ్బులు వేటేజీ ఆధారంగా ఇతర స్థల మదుపు చేస్తారుఒళదైసెన్స ము్సూచీలో స్థానం కోల్పోతే వెంటనే ఆ సంస్థలు అటిదాక మదుపు చేసిన మొత్తాన్ని కొత్తగాజచసిన్ర ,మిగిలిన డబ్బులు వైటేజీ ఆధారంగా ఇతర సంస్థలలు మదుపు చేస్తారు
vad_21_tm2J-qlbHBY,నిలుతానరిక్తే రెండు మల్లా అడ్డంగారిత నాలుగతావ అని చెప్పు,నెలవుతాను అరకుతున్నా మల్లు అడ్డంగా నారుగైతా వండు
vad_22_ChbBFnO-XRU,ఫైవ్ మినిట్స్ మా్ మీరు రోజ్ చచేస్తాు నేను చూస్తాను  లైఫ్  ూ ,ఫైమిన్ మాడు మీరు రోజు చేస్తారు లేనచూస్తామో మీ షో వేమీ ప్రు నేను లైవ్ గా చూస్తున్నారు
vad_24_bDiT5kKKnjY,మనం టైర్స్ దగ్గర మరీ ఒంగి ార్ట్యితే గిన స్ప చేయాల్సి ఉంటుంది అదే మ యూస చేసేఅనుకోండి  అవసరయితే ఉండదు ఈ విధంగా ఉంటుంది నేను జనరల్ గా ర్ట్గ అయితేఫర్టబుల్ గా ఉంటుంది అంటే ా్ట్గలాగా అలాగే మనటవటిలగా యూస్ చేసే అవకాశం ఉంది కాబట్టి నేను దీన్ని ప్రఫర్ చేడానికి ఇది కూడా  చెప్పుకోవచ్చు ,మనం టైర్స్ దగ్గర మరీ వంగి షాట్ గన్నతయితే వంగి స్పేజ్ యాల్సుంటుంది అదే మనూ ఎక్సెన్షన్ రాడ్గానుగా యూజేసే అవకాశం ఉంది వంగనవసరాయితే ఉండదు వీదంగా ఉంటుంది నేను జనరల్గా షాట్ గన్ అయితేనే కంఫర్ట్లుగా ఉంటుంది అంటుంటుంటుంటుంటుంటుంటు
vad_32_R4kPm3KHUcw,సినిమా అది ఏందంటే  టైం వ పక్కన పెట్టుకాఇది ొట్పుడు ెచూస్తాకొంచెం ాగు్పుడుఆప్షన్లే మెయిన్ ప్లారిట్ అవుతుంది కదా యూట్యూబ్ లోటరేలిా ,సినిమాను అందిందంటే టైమ్ వాడు షెడ్యూల్ పక్కని బెట్టుకు నెలతాను ఇది బోర్గొడ్డి ఓపెన్ చేస్తాను ఆప్షనల్ చూస్తారు కొంచెం బాగుండా ఓప్షనల్ మెన్ ప్రారిట్ అవుతుంది జనాలకి నాకు నాకు పట్లు చేసే నాకు యూట్యూబ్ నాకు ఫ్యాన్స్ రథువాలు కాల్చేశాలు ఉక్రైను
vad_35_0OR5H_QiQD8,ఏమబణికి ,ఏవైద్ర పానికి
vad_35_R4kPm3KHUcw,ఇక్కడ మనలాగా అక్కడపతథియేటర్లో ఎక్కడ ఉంటాయి ,ఇక్కడ మునలాగా అక్కడి భర్త కట్ థియేటర్లో ఎక్కడో ఉంటాయి
vad_38_ChbBFnO-XRU,గుండెలో నేను ఇది కూదా నేర్చుకున్న నిన్న ఈ రోజు వచ్చి కలుద్దాంటే హాట్ అంటారంటే గుండెలోని చూసుకుననా ,గుండెల్లో నేసుకున్నా తెల్సాని నిన్న ఇరోజు వచ్చి కలుద్దామంటే హాట్ కీమంటారంటే గుండెల్లో అని వచ్చుకున్నారు
vad_38_tm2J-qlbHBY,తొందరిదిను లేకపోతే ఎక్కడ మొత్తం తిను ,తొందరు దీనినో లేకబతే ఎక్కడేసుకుంటో మొత్తం తిను
vad_46_ChbBFnO-XRU,కానీ మీకు ప్రాబ్లం లేదు కదా  ఆదాహర తెలుగు మొత్తం నేర్చుకుండా ,కానీ మీకు ప్రాబ్లింగ్ లేదు కలా ఎర్రీ దాదాహ్యాన్ని నెన్నదెలిగా మొత్తం నేర్చుకుంటారు
vad_52_R4kPm3KHUcw,సినిమా అంటేది అల్టివేట్ ఎప్పటికైనా ,సినిమా అండది అల్టిమేట్ ఎప్పుడు
vad_57_0OR5H_QiQD8,ఎందుకంటే అలిల్ మీ బొబ్బర గుడాల్ సింగపూల సంద సదుబనిరపిన నువు నా చప్తా ,చెందుగారు అంటే అల్చాల్మే బొబ్బరగుడాలు సింగపుల సందు సందుకు బాన్ని నొప్పిన నూనాగుడు వెప్తాను
vad_66_Yk7PuNPW7F4,అబియస్గా హిలహోల్ కంట్రోల్ హిల్ డీసెంట్ కంట్రోల్ కొన్ని ఫీచస్ ఎక్స్ట్రాఫీచస్ అయితే మనకు ప్రవేట్ చేస్తున్నారు వన్పాట్ ఫలిటర్స్మార్ట్ ైబ్లో సిక్స్పీడ్ ఆటోమేటిక్ టార్్ గా ఉంటుంది ఇది ల్టా వేట్ నుంచి స్టార్ట్ అవుతుంది ల్టా వజీట ,హిల్ హుల్ కంట్రోల్  కంట్రోల్ కొన్ని ఎక్స్టా ఫీచే సైతం ప్రోవేట్ చేస్తున్నారు
vad_69_0OR5H_QiQD8,అరే మా బా సింగపూర్ ససరన ఏ మాట్లాడుతున్నారా ,మా బాస్ సింగపూలో సందించి నుండి ఏమార్లాడుతున్నారా
vad_71_ChbBFnO-XRU,ానీ ,ప్రాంక్ చేయని కానీ
vad_76_0OR5H_QiQD8,క మాటత్తున్న తావరావదముగ్రం మ ,మాట్టున్న తావుతారావుదముగ్గుణం చేర్చేదమ్మని నినా ఆన్ని పంకాకు ఉంచుతున్నారు మీరు కూడా అట్లే ఉంచురాను
